indice_tiempo,tipo_poblacion,participacion
2010,Viajeros,0.434914488703053
2011,Viajeros,0.435999986792672
2012,Viajeros,0.43075988646281
2013,Viajeros,0.468188647748449
2014,Viajeros,0.481319763836372
2015,Viajeros,0.484306797290491
2016,Viajeros,0.416645420821126
2017,Viajeros,0.424310611751876
2018,Viajeros,0.370729057242219
2019,Viajeros,0.385878983554068
2020,Viajeros,0.236905587615405
2021,Viajeros,0.279509696117851
2022,Viajeros,0.332131110925096
