indice_tiempo,medio_de_transporte,pais_origen,viajes_de_turistas_no_residentes
2017-09-01,Terrestre,EE.UU. y Canadá,1646
2017-09-01,Terrestre,Resto de América,9673.9
2017-09-01,Terrestre,Europa,10212.8
2017-09-01,Terrestre,Resto del mundo,3442.8
2017-10-01,Aérea,Bolivia,5736
2017-10-01,Aérea,Brasil,64309
2017-10-01,Aérea,Chile,30508
2017-10-01,Aérea,Paraguay,5902
2017-10-01,Aérea,Uruguay,5725
2017-10-01,Aérea,EE.UU. y Canadá,21586
2017-10-01,Aérea,Resto de América,38025
2017-10-01,Aérea,Europa,35445
2017-10-01,Aérea,Resto del mundo,15901
2017-10-01,Fluvial/Marítima,Bolivia,4237.3
2017-10-01,Fluvial/Marítima,Brasil,10575.7
2017-10-01,Fluvial/Marítima,Chile,1078.7
2017-10-01,Fluvial/Marítima,Paraguay,7954.1
2017-10-01,Fluvial/Marítima,Uruguay,32879.4
2017-10-01,Fluvial/Marítima,EE.UU. y Canadá,3026.1
2017-10-01,Fluvial/Marítima,Resto de América,5811
2017-10-01,Fluvial/Marítima,Europa,6971.4
2017-10-01,Fluvial/Marítima,Resto del mundo,1819.2
2017-10-01,Terrestre,Bolivia,32301.5
2017-10-01,Terrestre,Brasil,34104.2
2017-10-01,Terrestre,Chile,54692.3
2017-10-01,Terrestre,Paraguay,60394.6
2017-10-01,Terrestre,Uruguay,26546
2017-10-01,Terrestre,EE.UU. y Canadá,3093.5
2017-10-01,Terrestre,Resto de América,11318.1
2017-10-01,Terrestre,Europa,18296.1
2017-10-01,Terrestre,Resto del mundo,5278.4
2017-11-01,Aérea,Bolivia,5660
2017-11-01,Aérea,Brasil,58755
2017-11-01,Aérea,Chile,26790
2017-11-01,Aérea,Paraguay,6451
2017-11-01,Aérea,Uruguay,5040
2017-11-01,Aérea,EE.UU. y Canadá,30646.7
2017-11-01,Aérea,Resto de América,39573.8
2017-11-01,Aérea,Europa,55784.1
2017-11-01,Aérea,Resto del mundo,15832
2017-11-01,Fluvial/Marítima,Bolivia,2049
2017-11-01,Fluvial/Marítima,Brasil,9511
2017-11-01,Fluvial/Marítima,Chile,765.1
2017-11-01,Fluvial/Marítima,Paraguay,7644
2017-11-01,Fluvial/Marítima,Uruguay,30965
2017-11-01,Fluvial/Marítima,EE.UU. y Canadá,5482.9
2017-11-01,Fluvial/Marítima,Resto de América,5812
2017-11-01,Fluvial/Marítima,Europa,12387
2017-11-01,Fluvial/Marítima,Resto del mundo,2748
2017-11-01,Terrestre,Bolivia,27352.5
2017-11-01,Terrestre,Brasil,31841
2017-11-01,Terrestre,Chile,46370.3
2017-11-01,Terrestre,Paraguay,53117.4
2017-11-01,Terrestre,Uruguay,22805.2
2017-11-01,Terrestre,EE.UU. y Canadá,4987.5
2017-11-01,Terrestre,Resto de América,11664.9
2017-11-01,Terrestre,Europa,34827.9
2017-11-01,Terrestre,Resto del mundo,6113.7
2017-12-01,Aérea,Bolivia,7172
2017-12-01,Aérea,Brasil,55191
2017-12-01,Aérea,Chile,22525
2017-12-01,Aérea,Paraguay,6822
2017-12-01,Aérea,Uruguay,3969
2017-12-01,Aérea,EE.UU. y Canadá,33558.9
2017-12-01,Aérea,Resto de América,51936.1
2017-12-01,Aérea,Europa,59343.1
2017-12-01,Aérea,Resto del mundo,19363.1
2017-12-01,Fluvial/Marítima,Bolivia,2628.3
2017-12-01,Fluvial/Marítima,Brasil,21398.3
2017-12-01,Fluvial/Marítima,Chile,1447.1
2017-12-01,Fluvial/Marítima,Paraguay,15458.1
2017-12-01,Fluvial/Marítima,Uruguay,26970
2017-12-01,Fluvial/Marítima,EE.UU. y Canadá,13118
2017-12-01,Fluvial/Marítima,Resto de América,11032.7
2017-12-01,Fluvial/Marítima,Europa,14224.5
2017-12-01,Fluvial/Marítima,Resto del mundo,4493.1
2017-12-01,Terrestre,Bolivia,51290.8
2017-12-01,Terrestre,Brasil,37041.6
2017-12-01,Terrestre,Chile,82286.4
2017-12-01,Terrestre,Paraguay,139900.1
2017-12-01,Terrestre,Uruguay,23992.6
2017-12-01,Terrestre,EE.UU. y Canadá,6488.2
2017-12-01,Terrestre,Resto de América,17090.6
2017-12-01,Terrestre,Europa,29679.8
2017-12-01,Terrestre,Resto del mundo,9945.7
2018-01-01,Aérea,Bolivia,7839
2018-01-01,Aérea,Brasil,56344
2018-01-01,Aérea,Chile,17481
2018-01-01,Aérea,Paraguay,7264
2018-01-01,Aérea,Uruguay,3200
2018-01-01,Aérea,EE.UU. y Canadá,45297
2018-01-01,Aérea,Resto de América,39163
2018-01-01,Aérea,Europa,72264
2018-01-01,Aérea,Resto del mundo,20929
2018-01-01,Fluvial/Marítima,Bolivia,3084
2018-01-01,Fluvial/Marítima,Brasil,44661
2018-01-01,Fluvial/Marítima,Chile,2354.7
2018-01-01,Fluvial/Marítima,Paraguay,11505
2018-01-01,Fluvial/Marítima,Uruguay,20856
2018-01-01,Fluvial/Marítima,EE.UU. y Canadá,19060
2018-01-01,Fluvial/Marítima,Resto de América,8341
2018-01-01,Fluvial/Marítima,Europa,19720
2018-01-01,Fluvial/Marítima,Resto del mundo,5747
2018-01-01,Terrestre,Bolivia,66575.9
2018-01-01,Terrestre,Brasil,55808.5
2018-01-01,Terrestre,Chile,104308.2
2018-01-01,Terrestre,Paraguay,79463.3
2018-01-01,Terrestre,Uruguay,23582.5
2018-01-01,Terrestre,EE.UU. y Canadá,7709.8
2018-01-01,Terrestre,Resto de América,17151.8
2018-01-01,Terrestre,Europa,33645
2018-01-01,Terrestre,Resto del mundo,15886.2
2018-02-01,Aérea,Bolivia,5604
2018-02-01,Aérea,Brasil,33962
2018-02-01,Aérea,Chile,22360
2018-02-01,Aérea,Paraguay,4445
2018-02-01,Aérea,Uruguay,3538
2018-02-01,Aérea,EE.UU. y Canadá,28976
2018-02-01,Aérea,Resto de América,26683
2018-02-01,Aérea,Europa,52549.9
2018-02-01,Aérea,Resto del mundo,17900.9
2018-02-01,Fluvial/Marítima,Bolivia,1916
2018-02-01,Fluvial/Marítima,Brasil,30067
2018-02-01,Fluvial/Marítima,Chile,3676.2
2018-02-01,Fluvial/Marítima,Paraguay,8470
2018-02-01,Fluvial/Marítima,Uruguay,22461
2018-02-01,Fluvial/Marítima,EE.UU. y Canadá,20931.2
2018-02-01,Fluvial/Marítima,Resto de América,4916
2018-02-01,Fluvial/Marítima,Europa,22152
2018-02-01,Fluvial/Marítima,Resto del mundo,6620
2018-02-01,Terrestre,Bolivia,45344.3
2018-02-01,Terrestre,Brasil,32527.7
2018-02-01,Terrestre,Chile,144910.9
2018-02-01,Terrestre,Paraguay,68065.7
2018-02-01,Terrestre,Uruguay,23858.5
2018-02-01,Terrestre,EE.UU. y Canadá,6822.1
2018-02-01,Terrestre,Resto de América,12533.2
2018-02-01,Terrestre,Europa,31738.2
2018-02-01,Terrestre,Resto del mundo,13226.1
2018-03-01,Aérea,Bolivia,5301
2018-03-01,Aérea,Brasil,35108
2018-03-01,Aérea,Chile,20654
2018-03-01,Aérea,Paraguay,5535
2018-03-01,Aérea,Uruguay,4804
2018-03-01,Aérea,EE.UU. y Canadá,34464
2018-03-01,Aérea,Resto de América,33645
2018-03-01,Aérea,Europa,58831
2018-03-01,Aérea,Resto del mundo,17868
2018-03-01,Fluvial/Marítima,Bolivia,6977
2018-03-01,Fluvial/Marítima,Brasil,16131
2018-03-01,Fluvial/Marítima,Chile,1299.3
2018-03-01,Fluvial/Marítima,Paraguay,8648
2018-03-01,Fluvial/Marítima,Uruguay,30306
2018-03-01,Fluvial/Marítima,EE.UU. y Canadá,13301
2018-03-01,Fluvial/Marítima,Resto de América,6004
2018-03-01,Fluvial/Marítima,Europa,13733
2018-03-01,Fluvial/Marítima,Resto del mundo,3410
2018-03-01,Terrestre,Bolivia,28684.6
2018-03-01,Terrestre,Brasil,25860.7
2018-03-01,Terrestre,Chile,65203
2018-03-01,Terrestre,Paraguay,69313.1
2018-03-01,Terrestre,Uruguay,31439.2
2018-03-01,Terrestre,EE.UU. y Canadá,6796
2018-03-01,Terrestre,Resto de América,11775.2
2018-03-01,Terrestre,Europa,31053.5
2018-03-01,Terrestre,Resto del mundo,9366.1
2018-04-01,Aérea,Bolivia,5043
2018-04-01,Aérea,Brasil,49415.8
2018-04-01,Aérea,Chile,22401.1
2018-04-01,Aérea,Paraguay,5776
2018-04-01,Aérea,Uruguay,4982
2018-04-01,Aérea,EE.UU. y Canadá,28401
2018-04-01,Aérea,Resto de América,32608
2018-04-01,Aérea,Europa,52361
2018-04-01,Aérea,Resto del mundo,16376
2018-04-01,Fluvial/Marítima,Bolivia,7788
2018-04-01,Fluvial/Marítima,Brasil,8576
2018-04-01,Fluvial/Marítima,Chile,801.1
2018-04-01,Fluvial/Marítima,Paraguay,7407
2018-04-01,Fluvial/Marítima,Uruguay,30684
2018-04-01,Fluvial/Marítima,EE.UU. y Canadá,2505
2018-04-01,Fluvial/Marítima,Resto de América,4454
2018-04-01,Fluvial/Marítima,Europa,5968
2018-04-01,Fluvial/Marítima,Resto del mundo,1478
2018-04-01,Terrestre,Bolivia,26137.3
2018-04-01,Terrestre,Brasil,29516.3
2018-04-01,Terrestre,Chile,54714.4
2018-04-01,Terrestre,Paraguay,44000.9
2018-04-01,Terrestre,Uruguay,21539.4
2018-04-01,Terrestre,EE.UU. y Canadá,3915.9
2018-04-01,Terrestre,Resto de América,9573.7
2018-04-01,Terrestre,Europa,17393.5
2018-04-01,Terrestre,Resto del mundo,6147.3
2018-05-01,Aérea,Bolivia,4536.8
2018-05-01,Aérea,Brasil,52262
2018-05-01,Aérea,Chile,24078
2018-05-01,Aérea,Paraguay,6109
2018-05-01,Aérea,Uruguay,4871
2018-05-01,Aérea,EE.UU. y Canadá,20737
2018-05-01,Aérea,Resto de América,29133
2018-05-01,Aérea,Europa,35450
2018-05-01,Aérea,Resto del mundo,13808
2018-05-01,Fluvial/Marítima,Bolivia,7418
2018-05-01,Fluvial/Marítima,Brasil,8054
2018-05-01,Fluvial/Marítima,Chile,773.2
2018-05-01,Fluvial/Marítima,Paraguay,7489
2018-05-01,Fluvial/Marítima,Uruguay,26995
2018-05-01,Fluvial/Marítima,EE.UU. y Canadá,1922
2018-05-01,Fluvial/Marítima,Resto de América,3572
2018-05-01,Fluvial/Marítima,Europa,3660
2018-05-01,Fluvial/Marítima,Resto del mundo,1266
2018-05-01,Terrestre,Bolivia,26661.9
2018-05-01,Terrestre,Brasil,24287.6
2018-05-01,Terrestre,Chile,43579.7
2018-05-01,Terrestre,Paraguay,45707.8
2018-05-01,Terrestre,Uruguay,17463.2
2018-05-01,Terrestre,EE.UU. y Canadá,2104.8
2018-05-01,Terrestre,Resto de América,8661.9
2018-05-01,Terrestre,Europa,11580.4
2018-05-01,Terrestre,Resto del mundo,3565
2018-06-01,Aérea,Bolivia,4502
2018-06-01,Aérea,Brasil,57070
2018-06-01,Aérea,Chile,18667
2018-06-01,Aérea,Paraguay,4794
2018-06-01,Aérea,Uruguay,3976
2018-06-01,Aérea,EE.UU. y Canadá,19876
2018-06-01,Aérea,Resto de América,28088
2018-06-01,Aérea,Europa,27084
2018-06-01,Aérea,Resto del mundo,11391
2018-06-01,Fluvial/Marítima,Bolivia,6972
2018-06-01,Fluvial/Marítima,Brasil,7358
2018-06-01,Fluvial/Marítima,Chile,538.1
2018-06-01,Fluvial/Marítima,Paraguay,6619
2018-06-01,Fluvial/Marítima,Uruguay,21413
2018-06-01,Fluvial/Marítima,EE.UU. y Canadá,2053
2018-06-01,Fluvial/Marítima,Resto de América,3381
2018-06-01,Fluvial/Marítima,Europa,2692
2018-06-01,Fluvial/Marítima,Resto del mundo,1055
2018-06-01,Terrestre,Bolivia,23639.5
2018-06-01,Terrestre,Brasil,23616.8
2018-06-01,Terrestre,Chile,22735.8
2018-06-01,Terrestre,Paraguay,39052.6
2018-06-01,Terrestre,Uruguay,14004.4
2018-06-01,Terrestre,EE.UU. y Canadá,1646
2018-06-01,Terrestre,Resto de América,7810.2
2018-06-01,Terrestre,Europa,6826.9
2018-06-01,Terrestre,Resto del mundo,2463.6
2018-07-01,Aérea,Bolivia,5748
2018-07-01,Aérea,Brasil,93346
2018-07-01,Aérea,Chile,28871
2018-07-01,Aérea,Paraguay,7263
2018-07-01,Aérea,Uruguay,5150
2018-07-01,Aérea,EE.UU. y Canadá,22594
2018-07-01,Aérea,Resto de América,30485
2018-07-01,Aérea,Europa,29514
2018-07-01,Aérea,Resto del mundo,11418
2018-07-01,Fluvial/Marítima,Bolivia,9237
2018-07-01,Fluvial/Marítima,Brasil,13951
2018-07-01,Fluvial/Marítima,Chile,1091
2018-07-01,Fluvial/Marítima,Paraguay,9319
2018-07-01,Fluvial/Marítima,Uruguay,33344
2018-07-01,Fluvial/Marítima,EE.UU. y Canadá,1894
2018-07-01,Fluvial/Marítima,Resto de América,4551
2018-07-01,Fluvial/Marítima,Europa,3476
2018-07-01,Fluvial/Marítima,Resto del mundo,1030
2018-07-01,Terrestre,Bolivia,36982.6
2018-07-01,Terrestre,Brasil,34933.1
2018-07-01,Terrestre,Chile,41589.9
2018-07-01,Terrestre,Paraguay,69307.4
2018-07-01,Terrestre,Uruguay,33120.3
2018-07-01,Terrestre,EE.UU. y Canadá,1981.3
2018-07-01,Terrestre,Resto de América,10395.8
2018-07-01,Terrestre,Europa,10010.1
2018-07-01,Terrestre,Resto del mundo,2992.8
2018-08-01,Aérea,Bolivia,4853
2018-08-01,Aérea,Brasil,78239
2018-08-01,Aérea,Chile,24988
2018-08-01,Aérea,Paraguay,6138
2018-08-01,Aérea,Uruguay,5156
2018-08-01,Aérea,EE.UU. y Canadá,23858
2018-08-01,Aérea,Resto de América,33821
2018-08-01,Aérea,Europa,36631
2018-08-01,Aérea,Resto del mundo,13672.1
2018-08-01,Fluvial/Marítima,Bolivia,6853
2018-08-01,Fluvial/Marítima,Brasil,8501
2018-08-01,Fluvial/Marítima,Chile,719
2018-08-01,Fluvial/Marítima,Paraguay,7579
2018-08-01,Fluvial/Marítima,Uruguay,27000
2018-08-01,Fluvial/Marítima,EE.UU. y Canadá,1760
2018-08-01,Fluvial/Marítima,Resto de América,4460
2018-08-01,Fluvial/Marítima,Europa,3865
2018-08-01,Fluvial/Marítima,Resto del mundo,953
2018-08-01,Terrestre,Bolivia,26082.5
2018-08-01,Terrestre,Brasil,26492.8
2018-08-01,Terrestre,Chile,29911
2018-08-01,Terrestre,Paraguay,49726.3
2018-08-01,Terrestre,Uruguay,23198.5
2018-08-01,Terrestre,EE.UU. y Canadá,1651.1
2018-08-01,Terrestre,Resto de América,9452.1
2018-08-01,Terrestre,Europa,13027.1
2018-08-01,Terrestre,Resto del mundo,2753.4
2018-09-01,Aérea,Bolivia,5108
2018-09-01,Aérea,Brasil,70203
2018-09-01,Aérea,Chile,34060
2018-09-01,Aérea,Paraguay,5395
2018-09-01,Aérea,Uruguay,5363
2018-09-01,Aérea,EE.UU. y Canadá,20554
2018-09-01,Aérea,Resto de América,36422
2018-09-01,Aérea,Europa,34122
2018-09-01,Aérea,Resto del mundo,14115
2018-09-01,Fluvial/Marítima,Bolivia,6164
2018-09-01,Fluvial/Marítima,Brasil,9361
2018-09-01,Fluvial/Marítima,Chile,1271.1
2018-09-01,Fluvial/Marítima,Paraguay,6598.4
2018-09-01,Fluvial/Marítima,Uruguay,37447.1
2018-09-01,Fluvial/Marítima,EE.UU. y Canadá,1675
2018-09-01,Fluvial/Marítima,Resto de América,4729.1
2018-09-01,Fluvial/Marítima,Europa,4185.1
2018-09-01,Fluvial/Marítima,Resto del mundo,1297
2018-09-01,Terrestre,Bolivia,25063.8
2018-09-01,Terrestre,Brasil,35724.1
2018-09-01,Terrestre,Chile,67132.3
2018-09-01,Terrestre,Paraguay,48557.8
2018-09-01,Terrestre,Uruguay,42823
2018-09-01,Terrestre,EE.UU. y Canadá,2261.3
2018-09-01,Terrestre,Resto de América,10361.3
2018-09-01,Terrestre,Europa,11762.6
2018-09-01,Terrestre,Resto del mundo,4241.3
2018-10-01,Aérea,Bolivia,5301
2018-10-01,Aérea,Brasil,64194
2018-10-01,Aérea,Chile,33322
2018-10-01,Aérea,Paraguay,5640
2018-10-01,Aérea,Uruguay,5255
2018-10-01,Aérea,EE.UU. y Canadá,23724
2018-10-01,Aérea,Resto de América,39789
2018-10-01,Aérea,Europa,41278
2018-10-01,Aérea,Resto del mundo,19428
2018-10-01,Fluvial/Marítima,Bolivia,6114
2018-10-01,Fluvial/Marítima,Brasil,8161.8
2018-10-01,Fluvial/Marítima,Chile,897.2
2018-10-01,Fluvial/Marítima,Paraguay,6929.8
2018-10-01,Fluvial/Marítima,Uruguay,35360
2018-10-01,Fluvial/Marítima,EE.UU. y Canadá,3308.1
2018-10-01,Fluvial/Marítima,Resto de América,5824
2018-10-01,Fluvial/Marítima,Europa,6443.8
2018-10-01,Fluvial/Marítima,Resto del mundo,1973.1
2018-10-01,Terrestre,Bolivia,28277.1
2018-10-01,Terrestre,Brasil,33214.6
2018-10-01,Terrestre,Chile,49878.1
2018-10-01,Terrestre,Paraguay,51596.4
2018-10-01,Terrestre,Uruguay,32386.4
2018-10-01,Terrestre,EE.UU. y Canadá,3715.9
2018-10-01,Terrestre,Resto de América,12472.2
2018-10-01,Terrestre,Europa,20946.3
2018-10-01,Terrestre,Resto del mundo,5306.3
2018-11-01,Aérea,Bolivia,6059
2018-11-01,Aérea,Brasil,68666
2018-11-01,Aérea,Chile,35893
2018-11-01,Aérea,Paraguay,5753
2018-11-01,Aérea,Uruguay,4209
2018-11-01,Aérea,EE.UU. y Canadá,32754
2018-11-01,Aérea,Resto de América,44835
2018-11-01,Aérea,Europa,60223
2018-11-01,Aérea,Resto del mundo,16165
2018-11-01,Fluvial/Marítima,Bolivia,5215.2
2018-11-01,Fluvial/Marítima,Brasil,8478.6
2018-11-01,Fluvial/Marítima,Chile,845.6
2018-11-01,Fluvial/Marítima,Paraguay,6479.8
2018-11-01,Fluvial/Marítima,Uruguay,32787.1
2018-11-01,Fluvial/Marítima,EE.UU. y Canadá,4743.1
2018-11-01,Fluvial/Marítima,Resto de América,6281.5
2018-11-01,Fluvial/Marítima,Europa,11992.1
2018-11-01,Fluvial/Marítima,Resto del mundo,2358.8
2018-11-01,Terrestre,Bolivia,24744.6
2018-11-01,Terrestre,Brasil,35898.4
2018-11-01,Terrestre,Chile,65410.4
2018-11-01,Terrestre,Paraguay,47220.7
2018-11-01,Terrestre,Uruguay,30604.3
2018-11-01,Terrestre,EE.UU. y Canadá,6674.1
2018-11-01,Terrestre,Resto de América,13924.1
2018-11-01,Terrestre,Europa,40735.7
2018-11-01,Terrestre,Resto del mundo,6974.1
2018-12-01,Aérea,Bolivia,7048
2018-12-01,Aérea,Brasil,68837
2018-12-01,Aérea,Chile,27783
2018-12-01,Aérea,Paraguay,7059
2018-12-01,Aérea,Uruguay,3684
2018-12-01,Aérea,EE.UU. y Canadá,37767
2018-12-01,Aérea,Resto de América,56794.5
2018-12-01,Aérea,Europa,63748
2018-12-01,Aérea,Resto del mundo,21922.2
2018-12-01,Fluvial/Marítima,Bolivia,7241
2018-12-01,Fluvial/Marítima,Brasil,30258
2018-12-01,Fluvial/Marítima,Chile,1057.1
2018-12-01,Fluvial/Marítima,Paraguay,11949
2018-12-01,Fluvial/Marítima,Uruguay,24875
2018-12-01,Fluvial/Marítima,EE.UU. y Canadá,14664.8
2018-12-01,Fluvial/Marítima,Resto de América,11353
2018-12-01,Fluvial/Marítima,Europa,15867.8
2018-12-01,Fluvial/Marítima,Resto del mundo,5321
2018-12-01,Terrestre,Bolivia,47950.1
2018-12-01,Terrestre,Brasil,39062
2018-12-01,Terrestre,Chile,71990.5
2018-12-01,Terrestre,Paraguay,117189.4
2018-12-01,Terrestre,Uruguay,27398.2
2018-12-01,Terrestre,EE.UU. y Canadá,8240.3
2018-12-01,Terrestre,Resto de América,16385.3
2018-12-01,Terrestre,Europa,32507.6
2018-12-01,Terrestre,Resto del mundo,10238.9
2019-01-01,Aérea,Bolivia,8521
2019-01-01,Aérea,Brasil,82662
2019-01-01,Aérea,Chile,27371
2019-01-01,Aérea,Paraguay,8320
2019-01-01,Aérea,Uruguay,3732
2019-01-01,Aérea,EE.UU. y Canadá,52176
2019-01-01,Aérea,Resto de América,48866
2019-01-01,Aérea,Europa,84273
2019-01-01,Aérea,Resto del mundo,23324
2019-01-01,Fluvial/Marítima,Bolivia,7656
2019-01-01,Fluvial/Marítima,Brasil,46798
2019-01-01,Fluvial/Marítima,Chile,2442
2019-01-01,Fluvial/Marítima,Paraguay,9687
2019-01-01,Fluvial/Marítima,Uruguay,18681.9
2019-01-01,Fluvial/Marítima,EE.UU. y Canadá,24862
2019-01-01,Fluvial/Marítima,Resto de América,7958
2019-01-01,Fluvial/Marítima,Europa,23162.9
2019-01-01,Fluvial/Marítima,Resto del mundo,7342
2019-01-01,Terrestre,Bolivia,56592.6
2019-01-01,Terrestre,Brasil,58495.5
2019-01-01,Terrestre,Chile,97372.7
2019-01-01,Terrestre,Paraguay,68366.2
2019-01-01,Terrestre,Uruguay,29304.8
2019-01-01,Terrestre,EE.UU. y Canadá,9336.7
2019-01-01,Terrestre,Resto de América,18013.7
2019-01-01,Terrestre,Europa,39333.9
2019-01-01,Terrestre,Resto del mundo,16156.2
2019-02-01,Aérea,Bolivia,5866
2019-02-01,Aérea,Brasil,38387
2019-02-01,Aérea,Chile,36923
2019-02-01,Aérea,Paraguay,6273
2019-02-01,Aérea,Uruguay,3853
2019-02-01,Aérea,EE.UU. y Canadá,32654
2019-02-01,Aérea,Resto de América,33047
2019-02-01,Aérea,Europa,57427
2019-02-01,Aérea,Resto del mundo,18403
2019-02-01,Fluvial/Marítima,Bolivia,5335.5
2019-02-01,Fluvial/Marítima,Brasil,29603.9
2019-02-01,Fluvial/Marítima,Chile,3858.7
2019-02-01,Fluvial/Marítima,Paraguay,8281.5
2019-02-01,Fluvial/Marítima,Uruguay,19701.6
2019-02-01,Fluvial/Marítima,EE.UU. y Canadá,26970.1
2019-02-01,Fluvial/Marítima,Resto de América,4659.8
2019-02-01,Fluvial/Marítima,Europa,24512.2
2019-02-01,Fluvial/Marítima,Resto del mundo,9343.1
2019-02-01,Terrestre,Bolivia,38547.7
2019-02-01,Terrestre,Brasil,26428.7
2019-02-01,Terrestre,Chile,137782.2
2019-02-01,Terrestre,Paraguay,58506.4
2019-02-01,Terrestre,Uruguay,26008.5
2019-02-01,Terrestre,EE.UU. y Canadá,8225.4
2019-02-01,Terrestre,Resto de América,11990.9
2019-02-01,Terrestre,Europa,37007.1
2019-02-01,Terrestre,Resto del mundo,15791.6
2019-03-01,Aérea,Bolivia,5602
2019-03-01,Aérea,Brasil,61903
2019-03-01,Aérea,Chile,28033
2019-03-01,Aérea,Paraguay,6234
2019-03-01,Aérea,Uruguay,4934
2019-03-01,Aérea,EE.UU. y Canadá,38838
2019-03-01,Aérea,Resto de América,36038
2019-03-01,Aérea,Europa,66074
2019-03-01,Aérea,Resto del mundo,19952
2019-03-01,Fluvial/Marítima,Bolivia,6715.2
2019-03-01,Fluvial/Marítima,Brasil,24150
2019-03-01,Fluvial/Marítima,Chile,1187.7
2019-03-01,Fluvial/Marítima,Paraguay,6826.1
2019-03-01,Fluvial/Marítima,Uruguay,24466.9
2019-03-01,Fluvial/Marítima,EE.UU. y Canadá,17585.1
2019-03-01,Fluvial/Marítima,Resto de América,5369.3
2019-03-01,Fluvial/Marítima,Europa,16718.3
2019-03-01,Fluvial/Marítima,Resto del mundo,5046
2019-03-01,Terrestre,Bolivia,27304.1
2019-03-01,Terrestre,Brasil,35582.1
2019-03-01,Terrestre,Chile,62614.3
2019-03-01,Terrestre,Paraguay,47254.1
2019-03-01,Terrestre,Uruguay,27584.9
2019-03-01,Terrestre,EE.UU. y Canadá,7877.7
2019-03-01,Terrestre,Resto de América,11994
2019-03-01,Terrestre,Europa,33209.8
2019-03-01,Terrestre,Resto del mundo,11786.1
2019-04-01,Aérea,Bolivia,5429
2019-04-01,Aérea,Brasil,59837
2019-04-01,Aérea,Chile,28146
2019-04-01,Aérea,Paraguay,7552
2019-04-01,Aérea,Uruguay,9069
2019-04-01,Aérea,EE.UU. y Canadá,27754
2019-04-01,Aérea,Resto de América,38476
2019-04-01,Aérea,Europa,52864
2019-04-01,Aérea,Resto del mundo,14301
2019-04-01,Fluvial/Marítima,Bolivia,6681
2019-04-01,Fluvial/Marítima,Brasil,7636
2019-04-01,Fluvial/Marítima,Chile,762
2019-04-01,Fluvial/Marítima,Paraguay,6842
2019-04-01,Fluvial/Marítima,Uruguay,37295
2019-04-01,Fluvial/Marítima,EE.UU. y Canadá,3206
2019-04-01,Fluvial/Marítima,Resto de América,5450
2019-04-01,Fluvial/Marítima,Europa,7456
2019-04-01,Fluvial/Marítima,Resto del mundo,2195
2019-04-01,Terrestre,Bolivia,25916.3
2019-04-01,Terrestre,Brasil,29125.7
2019-04-01,Terrestre,Chile,58612.6
2019-04-01,Terrestre,Paraguay,51208.2
2019-04-01,Terrestre,Uruguay,47763.1
2019-04-01,Terrestre,EE.UU. y Canadá,4364
2019-04-01,Terrestre,Resto de América,12358.5
2019-04-01,Terrestre,Europa,24504.7
2019-04-01,Terrestre,Resto del mundo,7317.5
2019-05-01,Aérea,Bolivia,5509
2019-05-01,Aérea,Brasil,69763
2019-05-01,Aérea,Chile,30746
2019-05-01,Aérea,Paraguay,7077
2019-05-01,Aérea,Uruguay,6278
2019-05-01,Aérea,EE.UU. y Canadá,21506
2019-05-01,Aérea,Resto de América,35034
2019-05-01,Aérea,Europa,39163
2019-05-01,Aérea,Resto del mundo,13418
2019-05-01,Fluvial/Marítima,Bolivia,9405.1
2019-05-01,Fluvial/Marítima,Brasil,6618.7
2019-05-01,Fluvial/Marítima,Chile,698.3
2019-05-01,Fluvial/Marítima,Paraguay,4449.4
2019-05-01,Fluvial/Marítima,Uruguay,22613.2
2019-05-01,Fluvial/Marítima,EE.UU. y Canadá,2250.3
2019-05-01,Fluvial/Marítima,Resto de América,4136.8
2019-05-01,Fluvial/Marítima,Europa,3822.4
2019-05-01,Fluvial/Marítima,Resto del mundo,1480.2
2019-05-01,Terrestre,Bolivia,24585.4
2019-05-01,Terrestre,Brasil,25760.4
2019-05-01,Terrestre,Chile,42182.6
2019-05-01,Terrestre,Paraguay,39034.8
2019-05-01,Terrestre,Uruguay,19228.5
2019-05-01,Terrestre,EE.UU. y Canadá,2523.7
2019-05-01,Terrestre,Resto de América,9811
2019-05-01,Terrestre,Europa,13003.7
2019-05-01,Terrestre,Resto del mundo,4451.1
2019-06-01,Aérea,Bolivia,4812
2019-06-01,Aérea,Brasil,74633
2019-06-01,Aérea,Chile,28516
2019-06-01,Aérea,Paraguay,6798
2019-06-01,Aérea,Uruguay,6705
2019-06-01,Aérea,EE.UU. y Canadá,20948
2019-06-01,Aérea,Resto de América,33458
2019-06-01,Aérea,Europa,29541
2019-06-01,Aérea,Resto del mundo,11617
2019-06-01,Fluvial/Marítima,Bolivia,8822
2019-06-01,Fluvial/Marítima,Brasil,7324.6
2019-06-01,Fluvial/Marítima,Chile,413.1
2019-06-01,Fluvial/Marítima,Paraguay,4509.3
2019-06-01,Fluvial/Marítima,Uruguay,23649.2
2019-06-01,Fluvial/Marítima,EE.UU. y Canadá,2008
2019-06-01,Fluvial/Marítima,Resto de América,3429.4
2019-06-01,Fluvial/Marítima,Europa,2629.6
2019-06-01,Fluvial/Marítima,Resto del mundo,1069.2
2019-06-01,Terrestre,Bolivia,26459.9
2019-06-01,Terrestre,Brasil,30286.4
2019-06-01,Terrestre,Chile,24649.5
2019-06-01,Terrestre,Paraguay,38002
2019-06-01,Terrestre,Uruguay,18380.6
