indice_tiempo,medio_de_transporte,pais_origen,viajes_de_turistas_no_residentes
2016-06-01,Fluvial/Marítima,Resto del mundo,926
2016-06-01,Terrestre,Bolivia,25377.7
2016-06-01,Terrestre,Brasil,19371.5
2016-06-01,Terrestre,Chile,31642.6
2016-06-01,Terrestre,Paraguay,41144.9
2016-06-01,Terrestre,Uruguay,17577.9
2016-06-01,Terrestre,EE.UU. y Canadá,2154.5
2016-06-01,Terrestre,Resto de América,7793.7
2016-06-01,Terrestre,Europa,7392
2016-06-01,Terrestre,Resto del mundo,2885
2016-07-01,Aérea,Bolivia,6402.3
2016-07-01,Aérea,Brasil,70345
2016-07-01,Aérea,Chile,21287
2016-07-01,Aérea,Paraguay,6576.3
2016-07-01,Aérea,Uruguay,5514.3
2016-07-01,Aérea,EE.UU. y Canadá,20868
2016-07-01,Aérea,Resto de América,28484.2
2016-07-01,Aérea,Europa,28780
2016-07-01,Aérea,Resto del mundo,11557
2016-07-01,Fluvial/Marítima,Bolivia,11522
2016-07-01,Fluvial/Marítima,Brasil,13197
2016-07-01,Fluvial/Marítima,Chile,941
2016-07-01,Fluvial/Marítima,Paraguay,7076
2016-07-01,Fluvial/Marítima,Uruguay,37190
2016-07-01,Fluvial/Marítima,EE.UU. y Canadá,1948
2016-07-01,Fluvial/Marítima,Resto de América,4030
2016-07-01,Fluvial/Marítima,Europa,3692.9
2016-07-01,Fluvial/Marítima,Resto del mundo,1054
2016-07-01,Terrestre,Bolivia,41800.3
2016-07-01,Terrestre,Brasil,32210
2016-07-01,Terrestre,Chile,54596.3
2016-07-01,Terrestre,Paraguay,70865
2016-07-01,Terrestre,Uruguay,34427.6
2016-07-01,Terrestre,EE.UU. y Canadá,2813.3
2016-07-01,Terrestre,Resto de América,10769.7
2016-07-01,Terrestre,Europa,11336.3
2016-07-01,Terrestre,Resto del mundo,3336.5
2016-08-01,Aérea,Bolivia,5063.8
2016-08-01,Aérea,Brasil,64338
2016-08-01,Aérea,Chile,20094
2016-08-01,Aérea,Paraguay,4929.4
2016-08-01,Aérea,Uruguay,5035.4
2016-08-01,Aérea,EE.UU. y Canadá,21407
2016-08-01,Aérea,Resto de América,30544.4
2016-08-01,Aérea,Europa,36190
2016-08-01,Aérea,Resto del mundo,13068
2016-08-01,Fluvial/Marítima,Bolivia,8807
2016-08-01,Fluvial/Marítima,Brasil,8440
2016-08-01,Fluvial/Marítima,Chile,694
2016-08-01,Fluvial/Marítima,Paraguay,6183
2016-08-01,Fluvial/Marítima,Uruguay,26919
2016-08-01,Fluvial/Marítima,EE.UU. y Canadá,1563
2016-08-01,Fluvial/Marítima,Resto de América,3752
2016-08-01,Fluvial/Marítima,Europa,4542.8
2016-08-01,Fluvial/Marítima,Resto del mundo,955
2016-08-01,Terrestre,Bolivia,28783.4
2016-08-01,Terrestre,Brasil,23625.7
2016-08-01,Terrestre,Chile,39881
2016-08-01,Terrestre,Paraguay,54634.7
2016-08-01,Terrestre,Uruguay,23444.6
2016-08-01,Terrestre,EE.UU. y Canadá,2621.1
2016-08-01,Terrestre,Resto de América,10350.6
2016-08-01,Terrestre,Europa,13832.6
2016-08-01,Terrestre,Resto del mundo,3587.1
2016-09-01,Aérea,Bolivia,5522.8
2016-09-01,Aérea,Brasil,58354
2016-09-01,Aérea,Chile,20488
2016-09-01,Aérea,Paraguay,4575.1
2016-09-01,Aérea,Uruguay,5898
2016-09-01,Aérea,EE.UU. y Canadá,17933
2016-09-01,Aérea,Resto de América,25911.2
2016-09-01,Aérea,Europa,32683
2016-09-01,Aérea,Resto del mundo,13579
2016-09-01,Fluvial/Marítima,Bolivia,8472
2016-09-01,Fluvial/Marítima,Brasil,9657
2016-09-01,Fluvial/Marítima,Chile,1050
2016-09-01,Fluvial/Marítima,Paraguay,6938
2016-09-01,Fluvial/Marítima,Uruguay,30068
2016-09-01,Fluvial/Marítima,EE.UU. y Canadá,1522
2016-09-01,Fluvial/Marítima,Resto de América,3733
2016-09-01,Fluvial/Marítima,Europa,4190.9
2016-09-01,Fluvial/Marítima,Resto del mundo,1147
2016-09-01,Terrestre,Bolivia,26936.8
2016-09-01,Terrestre,Brasil,29555.2
2016-09-01,Terrestre,Chile,54733
2016-09-01,Terrestre,Paraguay,51069.4
2016-09-01,Terrestre,Uruguay,32910.6
2016-09-01,Terrestre,EE.UU. y Canadá,2448
2016-09-01,Terrestre,Resto de América,10572.5
2016-09-01,Terrestre,Europa,11924.1
2016-09-01,Terrestre,Resto del mundo,3646.6
2016-10-01,Aérea,Bolivia,5856.8
2016-10-01,Aérea,Brasil,55081
2016-10-01,Aérea,Chile,23299
2016-10-01,Aérea,Paraguay,5171.9
2016-10-01,Aérea,Uruguay,4983.2
2016-10-01,Aérea,EE.UU. y Canadá,20087
2016-10-01,Aérea,Resto de América,31726.1
2016-10-01,Aérea,Europa,35890
2016-10-01,Aérea,Resto del mundo,14573
2016-10-01,Fluvial/Marítima,Bolivia,8221
2016-10-01,Fluvial/Marítima,Brasil,9614
2016-10-01,Fluvial/Marítima,Chile,1066.1
2016-10-01,Fluvial/Marítima,Paraguay,7227
2016-10-01,Fluvial/Marítima,Uruguay,31127
2016-10-01,Fluvial/Marítima,EE.UU. y Canadá,2221
2016-10-01,Fluvial/Marítima,Resto de América,5125
2016-10-01,Fluvial/Marítima,Europa,6166.6
2016-10-01,Fluvial/Marítima,Resto del mundo,1443
2016-10-01,Terrestre,Bolivia,30618.8
2016-10-01,Terrestre,Brasil,30011.8
2016-10-01,Terrestre,Chile,68240.5
2016-10-01,Terrestre,Paraguay,59997.7
2016-10-01,Terrestre,Uruguay,27707.5
2016-10-01,Terrestre,EE.UU. y Canadá,2984.1
2016-10-01,Terrestre,Resto de América,12041.9
2016-10-01,Terrestre,Europa,20625.7
2016-10-01,Terrestre,Resto del mundo,5688.5
2016-11-01,Aérea,Bolivia,5737
2016-11-01,Aérea,Brasil,52301
2016-11-01,Aérea,Chile,23708
2016-11-01,Aérea,Paraguay,5042.3
2016-11-01,Aérea,Uruguay,4715
2016-11-01,Aérea,EE.UU. y Canadá,26809
2016-11-01,Aérea,Resto de América,34762.7
2016-11-01,Aérea,Europa,54057
2016-11-01,Aérea,Resto del mundo,14625
2016-11-01,Fluvial/Marítima,Bolivia,6516
2016-11-01,Fluvial/Marítima,Brasil,9122
2016-11-01,Fluvial/Marítima,Chile,989.1
2016-11-01,Fluvial/Marítima,Paraguay,7242
2016-11-01,Fluvial/Marítima,Uruguay,28090
2016-11-01,Fluvial/Marítima,EE.UU. y Canadá,5760
2016-11-01,Fluvial/Marítima,Resto de América,5592
2016-11-01,Fluvial/Marítima,Europa,11831.8
2016-11-01,Fluvial/Marítima,Resto del mundo,1901
2016-11-01,Terrestre,Bolivia,26594.3
2016-11-01,Terrestre,Brasil,28907.6
2016-11-01,Terrestre,Chile,67054.1
2016-11-01,Terrestre,Paraguay,51555
2016-11-01,Terrestre,Uruguay,22921.9
2016-11-01,Terrestre,EE.UU. y Canadá,4843.3
2016-11-01,Terrestre,Resto de América,12571.4
2016-11-01,Terrestre,Europa,34930.1
2016-11-01,Terrestre,Resto del mundo,6101.3
2016-12-01,Aérea,Bolivia,7720.2
2016-12-01,Aérea,Brasil,45569
2016-12-01,Aérea,Chile,19493
2016-12-01,Aérea,Paraguay,5825.4
2016-12-01,Aérea,Uruguay,3987.1
2016-12-01,Aérea,EE.UU. y Canadá,30532
2016-12-01,Aérea,Resto de América,47161.4
2016-12-01,Aérea,Europa,60037.9
2016-12-01,Aérea,Resto del mundo,16113.1
